s	f	9491
s	f	9479
h	l	9457
s	f	9435
i		9417
s	f	9409
y	v	9406
h	l	9405
s	f	9404
h	l	9398
s	f	9398
b	h	9388
s	f	9380
h	l	9373
s	f	9372
u	u	9372
p	p	9372
p	p	9372
o	o	9372
s	f	9372
s	f	9357
s	f	9347
n	u	9347
o		9343
i		9334
i	l	9325
s	f	9308
s	f	9307
s	f	9298
s	f	9285
h	b	9276
i	l	9273
s	f	9273
s	f	9272
s	f	9270
s	f	9270
s	f	9268
s	f	9265
s	f	9263
i	l	9262
s	f	9248
c	c	9248
o	o	9248
u	u	9248
r	r	9248
s	f	9248
s	f	9248
s	f	9247
i		9240
i		9232
s	f	9209
s	f	9204
i		9204
u	n	9199
b	h	9174
l	h	9170
y	v	9152
s	f	9137
s	f	9133
s	f	9116
s	f	9116
s	f	9101
s	f	9084
s	f	9079
s	f	9064
s	f	9054
s	f	9052
s	f	9049
s	f	9033
e	e	9033
n	n	9033
s	f	9033
w	a	9032
s	f	9020
s	f	9020
h	b	9014
s	f	9014
i	m	9010
s	f	9002
s	f	8997
s	f	8993
s	f	8983
n	u	8979
s	f	8970
s	f	8940
s	f	8928
h	l	8916
s	f	8912
o		8907
w	v	8907
s	f	8900
s	f	8886
s	f	8885
s	f	8880
s	f	8872
c	d	8871
s	f	8869
w	i	8865
r	i	8843
s	f	8836
s	f	8835
s	f	8829
s	f	8826
s	f	8805
s	f	8786
s	f	8783
f	l	8783
t	i	8779
b	h	8778
n	u	8777
s	f	8769
s	f	8768
w	a	8758
s	f	8756
i		8748
s	f	8740
t	l	8737
s	f	8727
i		8723
s	f	8715
s	f	8712
s	f	8712
e	c	8707
s	f	8706
s	f	8706
s	f	8703
f	l	8699
s	f	8690
s	f	8683
s	f	8671
s	f	8648
b	h	8646
i		8644
h	l	8639
i		8637
s	f	8629
s	f	8622
u	n	8622
s	f	8607
n	u	8602
h	l	8599
s	f	8590
e		8586
s	f	8585
s	f	8579
s	f	8578
i		8576
s	f	8571
s	f	8567
p	p	8567
o	o	8567
s	f	8567
s	f	8528
s	f	8520
y	v	8517
h	l	8500
s	f	8491
h	l	8486
s	f	8473
s	f	8459
i		8458
s	f	8457
s	f	8453
s	f	8452
s	f	8445
s	i	8405
s	f	8395
s	f	8391
s	f	8390
s	f	8372
s	f	8372
s	f	8368
s	f	8361
s	f	8344
e	c	8344
s	f	8335
e	e	8335
n	n	8335
s	f	8335
c	d	8334
u	n	8331
s	f	8312
s	f	8310
h	l	8309
s	f	8307
e	c	8306
u	n	8305
s	f	8297
s	f	8292
s	f	8290
b	h	8288
s	f	8281
s	f	8275
s	f	8272
o		8268
o		8268
n	u	8268
s	f	8261
w	v	8259
s	f	8258
n	u	8254
s	f	8242
s	f	8235
i		8217
s	f	8203
h	b	8190
u	n	8186
s	f	8185
s	f	8179
s	f	8172
s	f	8168
a		8168
t	l	8156
t	i	8143
s	f	8140
i	l	8139
y	v	8135
s	f	8132
s	f	8126
w	i	8122
r	i	8117
s	f	8106
l	h	8103
s	f	8102
b	h	8102
y	v	8087
c	e	8085
s	f	8082
s	f	8072
s	f	8067
s	f	8065
w	v	8055
s	f	8052
o		8044
s	f	8044
s	f	8042
l		8037
s	f	8032
t	l	8032
s	f	8030
u	n	8029
s	f	8028
s	f	8026
s	f	8023
s	f	8017
e	d	8013
s	f	7991
s	f	7989
w	i	7988
r	i	7983
i		7982
s	f	7982
s	f	7982
i		7981
s	f	7977
s	l	7977
f	l	7974
s	f	7958
l	h	7945
s	f	7942
s	f	7936
b	h	7936
s	f	7933
s	f	7930
s	f	7930
s	f	7925
y	v	7918
h		7916
h	l	7916
h	l	7915
s	f	7912
l	h	7911
e	c	7895
t	i	7893
s	f	7887
s	f	7880
s	f	7880
s	f	7878
